Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Patrimonio,Chrome 109.0.0.0,,,2023-01-25 15:10:06,2023-01-25 15:11:20,1m - 14.507s,FAILED
,,,,,,,
Test Cases/TC_Patrimonio/FO_Login,Chrome 109.0.0.0,,,2023-01-25 15:10:06,2023-01-25 15:10:24,17.745s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-25 15:10:06,2023-01-25 15:10:10,3.579s,PASSED
"navigateToUrl(""http://10.129.105.196:7003/frontoffice/login"")",Chrome 109.0.0.0,,,2023-01-25 15:10:10,2023-01-25 15:10:12,1.584s,PASSED
"setText(findTestObject(""Object Repository/OR_Patrimonio/FO_Login/input_Username_j_username""), ""Patrimonio3RF"")",Chrome 109.0.0.0,,,2023-01-25 15:10:12,2023-01-25 15:10:13,0.908s,PASSED
"setEncryptedText(findTestObject(""Object Repository/OR_Patrimonio/FO_Login/input_Password_j_password""), ""9NyHeMJyhFc="")",Chrome 109.0.0.0,,,2023-01-25 15:10:13,2023-01-25 15:10:13,0.486s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/FO_Login/input_Password_j_id_t""))",Chrome 109.0.0.0,,,2023-01-25 15:10:13,2023-01-25 15:10:23,10.272s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/FO_Login/a_Patrimnio""))",Chrome 109.0.0.0,,,2023-01-25 15:10:23,2023-01-25 15:10:24,0.471s,PASSED
,,,,,,,
Test Cases/TC_Patrimonio/Predio Rustico/Menu,Chrome 109.0.0.0,,,2023-01-25 15:10:24,2023-01-25 15:10:42,18.625s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/Predio Rustico/Menu/a_Cadastro""))",Chrome 109.0.0.0,,,2023-01-25 15:10:24,2023-01-25 15:10:25,0.678s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/Predio Rustico/Menu/a_Prdio""))",Chrome 109.0.0.0,,,2023-01-25 15:10:25,2023-01-25 15:10:25,0.492s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/Predio Rustico/Menu/a_Rstico""))",Chrome 109.0.0.0,,,2023-01-25 15:10:25,2023-01-25 15:10:42,17.114s,PASSED
,,,,,,,
Test Cases/TC_Patrimonio/Predio Rustico/A_Seccao Principal,Chrome 109.0.0.0,,,2023-01-25 15:11:20,2023-01-25 15:11:20,0.135s,FAILED
"click(findTestObject(""Object Repository/OR_Patrimonio/Predio Rustico/A_Seccao Principal/div_GERAL""))",Chrome 109.0.0.0,,,2023-01-25 15:11:20,2023-01-25 15:11:20,0.125s,FAILED
