Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginandBooking,Chrome 110.0.0.0,,,2023-02-08 22:42:50,2023-02-08 22:44:11,1m - 21.905s,PASSED
,,,,,,,
Test Cases/Demo Project/Login,Chrome 110.0.0.0,,,2023-02-08 22:42:50,2023-02-08 22:43:45,54.832s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-02-08 22:42:51,2023-02-08 22:43:23,32.605s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-02-08 22:43:23,2023-02-08 22:43:38,14.107s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 110.0.0.0,,,2023-02-08 22:43:38,2023-02-08 22:43:40,2.027s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 110.0.0.0,,,2023-02-08 22:43:40,2023-02-08 22:43:41,1.059s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 110.0.0.0,,,2023-02-08 22:43:41,2023-02-08 22:43:42,0.876s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 110.0.0.0,,,2023-02-08 22:43:42,2023-02-08 22:43:45,3.445s,PASSED
,,,,,,,
Test Cases/Demo Project/BookingAnAppointment,Chrome 110.0.0.0,,,2023-02-08 22:43:45,2023-02-08 22:44:11,26.400s,PASSED
"callTestCase(findTestCase(""Demo Project/Login""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:43:45,2023-02-08 22:44:05,19.312s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 110.0.0.0,,,2023-02-08 22:44:05,2023-02-08 22:44:06,1.566s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 110.0.0.0,,,2023-02-08 22:44:06,2023-02-08 22:44:07,0.504s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 110.0.0.0,,,2023-02-08 22:44:07,2023-02-08 22:44:07,0.497s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 110.0.0.0,,,2023-02-08 22:44:07,2023-02-08 22:44:08,0.697s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_31""))",Chrome 110.0.0.0,,,2023-02-08 22:44:08,2023-02-08 22:44:09,0.516s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Practicing automation testing"")",Chrome 110.0.0.0,,,2023-02-08 22:44:09,2023-02-08 22:44:09,0.965s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 110.0.0.0,,,2023-02-08 22:44:09,2023-02-08 22:44:11,1.916s,PASSED
